# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Enhanced Forgery Detection of Fake Face in Forensic Investigation using Convolution Neural Network,S. Parthiban; V. C. Bharathi; A. Anbumani; S. Ananthi; R. Sathya,"Department of Information Technology, Kongunadu College of Engineering and Yechnology, Trichy, Tamil Nadu, India; School of Computer Science and Engineering, VIT-AP University, Amaravati, Andhra Pradesh, India; Artificial intelligence and Datascience, Rajalakshmi Institute of Technology, Chennai, Tamil Nadu, India; Advanced Research Centre for Future Networks and Digital Twin Sri Eshwar College of Engineering, Coimbatore, Tamil Nadu, India; Department of IT, Kongunadu College of Engineering and Technology, Trichy, Tamil Nadu, India",2024 5th International Conference on Smart Electronics and Communication (ICOSEC),24-Oct-24,2024,,,1732,1738,"The proliferation of image editing tools has led to a surge in forged images, making it imperative to develop effective detection methods. This survey explores the application of deep learning, specifically the Convolutional Neural Network (CNN) RESNET50 algorithm for forged image detection in the field of forensic investigation. By analyzing various existing advancded techniques, CNNs have demonstrated their effectiveness in classifying fake faces in forensic investigations. The survey highlights the performance advantages of CNNs when trained on extensive datasets. This research study provides insights into future research directions and potential improvements in forged image detection. It emphasizes the need for building larger and more diverse datasets to facilitate comparison and evaluation of different detection methods.",,979-8-3315-0440-3,10.1109/ICOSEC61587.2024.10722521,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10722521,Deep learning;Convolution neural network;Forensic investigation;Fake faces,Surveys;Accuracy;Forensics;Neural networks;Feature extraction;Forgery;Convolutional neural networks;Surges;Faces;Residual neural networks,,1,,21,IEEE,24-Oct-24,18-20 Sept. 2024,18-20 Sept. 2024,IEEE,IEEE Conferences
An Efficient Copy-Move Forgery Detection using Discrete Cosine Transform with Block-wise Peak-Pixel-based Block Clustering,S. P. Koritala; M. Chimata; S. N. Polavarapu; B. S. Vangapandu; V. M. Manikandan,"Department of Computer Science and Engineering, SRM University Mangalagiri, Andhra Pradesh, India; Department of Computer Science and Engineering, SRM University Mangalagiri, Andhra Pradesh, India; Department of Computer Science and Engineering, SRM University Mangalagiri, Andhra Pradesh, India; Department of Computer Science and Engineering, SRM University Mangalagiri, Andhra Pradesh, India; Department of Computer Science and Engineering, SRM University Mangalagiri, Andhra Pradesh, India",2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),04-Nov-24,2024,,,1,6,"Digital images that are frequently encountered in day-to-day life can be easily tampered to mislead the information. One of the popular methods used to accomplish this unauthorized alteration is copy-move forgery. This paper presents a passive authentication scheme for copy-move forgery which uses discrete cosine transform (DCT) with block-wise peak-pixel-based block clustering. This scheme initially aims to obtain the features by implementing DCT on small, fixed image blocks and minimizes the size of feature vectors. The block-wise peak-pixel-based block clustering algorithm is used instead of the general lexicographic order technologies to enhance the detection precision. By comparing the feature vectors in each bucket, similar blocks will be obtained. Based on the experimental outcomes, the proposed scheme can detect multiple irregular and significant tampered regions. The duplicated regions detected in the distorted digital images can also be displayed by adding white Gaussian noise, Gaussian blurring and their mixed operations. By applying the above approach to the CoMoFoD - Image Database an accuracy of 99.99% has been achieved.",2473-7674,979-8-3503-7024-9,10.1109/ICCCNT61001.2024.10724145,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10724145,"Image forgery, Copy-move forgery, Discrete cosine transform, Block clustering",Technological innovation;Accuracy;Image databases;Digital images;Refining;Forgery;Vectors;Discrete cosine transforms;Reliability;Optimization,,1,,14,IEEE,04-Nov-24,24-28 June 2024,24-28 June 2024,IEEE,IEEE Conferences
Offline Signature Forgery Detection Based on Geometric Measures Using Tensorflow Model,A. A. Lakshmi; G. S. Reddy; M. S. Reddy; N. Kathirisetty,"Department Of Information Technology, Vardhaman College Of Engineering, Hyderabad, India; Department Of Information Technology, Vardhaman College Of Engineering, Hyderabad, India; Department Of Information Technology, Vardhaman College Of Engineering, Hyderabad, India; Department Of Computer Science and Data Science, Vardhaman College Of Engineering, Hyderabad, India","2024 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",30-Apr-24,2024,,,1,7,"The most popular method for identifying people from past signatures is through signatures. By using a TensorFlow model which is a deep learning algorithm, we created a new system to verify signatures on bank checks and other important documents. The main point is that a signature plays a crucial role in banking because it is necessary for money withdrawals. In banks there are no efficient systems to check if a signature is real or fake as it is the most frequently used bio-metric method to verify a person's identity. This can lead to bank fraud. The Project will make it easier to tell whether a signature is genuine or not. Online and offline verification are the two methods of verification. We're going to use various geometric measurements to accomplish offline verification. Python libraries were employed in this case. In the testing phase the model's performance is evaluated. To protect the integrity and legitimacy of handwritten signatures, signature forgery detection is an essential responsi-bility. The capacity to recognize forged signatures with accuracy has grown more important as a result of the rise in digital transactions and the growing reliance on electronic documents. The act of duplicating or copying another person's signature with the purpose to deceive or gain illegal access is known as signature forging. Manually spotting these forgeries can be difficult because expert forgers are adept at closely imitating the visual style and traits of real signatures. Therefore, there has been a lot of interest in the development of automated methods and algorithms to identify fake signatures.",,979-8-3503-7018-8,10.1109/ASSIC60049.2024.10507928,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10507928,IQ score;distance measures;machine learning;data mining,Deep learning;Visualization;Scalability;Feature extraction;Forgery;Data models;Libraries,,1,,14,IEEE,30-Apr-24,27-29 Jan. 2024,27-29 Jan. 2024,IEEE,IEEE Conferences
Digital Image Tamper-Forgery Detection in Security,S. M. Kolekar; A. P. Pimpalkar; R. P. More; S. A. Hirve; M. B. Gulame; N. N. Thorat,"CSE Department, MIT Art, Design and Technology University, Pune; CSE Department, MIT Art, Design and Technology University, Pune; CSE Department, MIT Art, Design and Technology University, Pune; CSE Department, MIT Art, Design and Technology University, Pune; CSE Department, MIT Art, Design and Technology University, Pune; CSE Department, MIT Art, Design and Technology University, Pune","2024 2nd International Conference on Recent Trends in Microelectronics, Automation, Computing and Communications Systems (ICMACC)",26-Feb-25,2024,,,41,46,"Any industry that employs digital photos has concerns about image security. Images from the crime scene, biometric pictures, suspect photos, and other sources have historically been used by public safety and forensics. The application of digital photographs in this discipline has significantly increased since the advent of digital imaging. Digital image processing has made it easier to alter photos while also inspiring the development of various new forensic investigation techniques. The public's easy access to several snipping and image altering applications raises questions about the veracity of digital pictures. It is used as documentation for a variety of reasons and provides strong evidence in a wide range of crimes. As picture modification and editing tools have advanced, so too have the methods for generating and editing photos. The two most popular techniques for photo counterfeiting are image splicing and copy-and-move forgeries. To conceal or display an incorrect scenario, an image can be spliced, or merged from two photos. It is possible to copy and paste a portion of one image into another. This study looks at the various types of digital image frauds and the tools used to identify them. The techniques currently in use for identifying fake images were examined.",,979-8-3503-6657-0,10.1109/ICMACC62921.2024.10894413,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10894413,Image Tampering;Active approach;Passive approach;Copy-move;Image splicing;Image Retouching,YOLO;Adaptation models;Digital images;Forensics;Splicing;Training data;Forgery;Public security;Fraud;Security,,,,40,IEEE,26-Feb-25,19-21 Dec. 2024,19-21 Dec. 2024,IEEE,IEEE Conferences
Multimedia Forensics: Preserving Video Integrity with Blockchain,S. K. Ahir; O. M. Adedayo,"Applied Computer Science, University of Winnipeg, Winnipeg, Canada; Applied Computer Science, University of Winnipeg, Winnipeg, Canada",2024 12th International Symposium on Digital Forensics and Security (ISDFS),15-May-24,2024,,,1,6,"This paper addresses some of the challenges of video forgery detection in multimedia forensics. It presents a solution that enhances video verification by utilizing the non-alterable features of blockchain technology and video hashing algorithms. The proposed approach is applicable in different application areas and can be used to increase video credibility, identify manipulations, and improve the storage process of tracking changes to video data. The paper describes our experiments and results of the proposed solution for video integrity preservation and verification, providing an alternative way to the quality assurance and security of video content in different industries.",2768-1831,979-8-3503-3036-6,10.1109/ISDFS60797.2024.10527295,University of Winnipeg; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527295,multimedia forensics;video forgery detection;digital forensics;blockchain;hashing,Industries;Quality assurance;Scalability;Digital forensics;Streaming media;Media;Forgery,,1,,12,IEEE,15-May-24,29-30 April 2024,29-30 April 2024,IEEE,IEEE Conferences
In-Vehicle Digital Forensics for Connected and Automated Vehicles With Public Auditing,J. Li; Z. Song; Z. Zhang; Y. Li; C. Cao,"School of Computer Engineering and Science, Shanghai university, Shanghai, China; School of Computer Engineering and Science, Shanghai university, Shanghai, China; School of Computer Engineering and Science, Shanghai university, Shanghai, China; School of Computer Engineering and Science, Shanghai university, Shanghai, China; School of Computer Engineering and Science, Shanghai university, Shanghai, China",IEEE Internet of Things Journal,05-Feb-24,2024,11,4,6368,6383,"Connected and autonomous vehicles produce a substantial amount of data that is essential for implementing advanced and intelligent features. Given the importance and the volume of in-vehicle data, storing it in the cloud for later extraction as critical evidence for vehicle digital forensics is a logical choice. However, ensuring the security of forensic data against tampering and forgery attacks throughout the process is a significant challenge. Existing solutions typically assume that vehicles will generate and upload the in-vehicle data to the cloud honestly. In reality, it may be necessary to prove whether the vehicle has uploaded authentic driving-related data in case of disputes about data authenticity. To address this issue, we propose an in-vehicle digital forensic scheme with public auditing, enabling anyone to perform a public auditing algorithm to check whether the data has been modified. The proposal is based on a process-oriented data integrity proof method that enables a vehicle to generate public verifiable integrity proof. Furthermore, we evaluated the practicality of our scheme by assessing its computational and communication overhead. In terms of computational cost, our proposed scheme demonstrates a power consumption of 0.0385 kWh per 100 km at a speed of 60 km/h. Regarding communication delay, our method exhibits a 50.1% decrease compared to similar approaches.",2327-4662,,10.1109/JIOT.2023.3310578,Henan Science and Technology Major Projects(grant numbers:221100240100); Shanghai Sailing Program(grant numbers:21YF1413800); Pre-Research Project of SongShan Laboratory; Science and Technology on Communication Security Laboratory Foundation(grant numbers:6142103022208); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250783,Digital forensics;in-vehicle data;public auditing;security,Digital forensics;Security;Accidents;Internet of Things;Data mining;Cloud computing;Autonomous vehicles,,10,,45,IEEE,13-Sep-23,"15 Feb.15, 2024",,IEEE,IEEE Journals
Digital Forensic Tools: Comparison of Autopsy TSK and Forensic Explorer,M. Farnan; J. Pratt; A. David; M. Shakiba,"School of Computing, Electrical and Applied Technology, Unitec Institute of Technology, Auckland, New Zealand; School of Computing, Electrical and Applied Technology, Unitec Institute of Technology, Auckland, New Zealand; School of Computing, Electrical and Applied Technology, Unitec Institute of Technology, Auckland, New Zealand; School of Computing, Electrical and Applied Technology, Unitec Institute of Technology, Auckland, New Zealand","2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",22-Aug-24,2024,,,1,5,"This research aims to compare the effectiveness of two prominent digital forensics tools, Autopsy TSK and Forensic Explorer, in analysing a well-known forensic image, specifically the Lone Wolf image from Digital Corpora. The aim is to assess their capabilities in detecting and handling forensic artefacts and their responses to selected anti-forensic techniques. Autopsy TSK and Forensic Explorer exhibited robust performance in identifying and analysing forensic artefacts within the Lone Wolf image. They successfully retrieved most of the available digital evidence. Data was concealed using encryption techniques, both tools failed to detect the hidden information, highlighting a limitation in their ability to uncover encrypted steganographic content. In cases of altered Exif and metadata, both tools could retrieve the original information from the hex data of the files. However, it is noteworthy that neither tool provided an alert or warning to guide the investigator regarding potential data manipulation. Based on the findings of this research, it is advisable for digital forensic investigators to exercise caution and employ additional techniques or tools when handling cases which may involve encrypted steganography.",,979-8-3503-8269-3,10.1109/ICITEICS61368.2024.10625076,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10625076,Anti-Forensics;Digital Forensics;Autopsy TSK;Forensic Explorer,Steganography;Communication systems;Digital forensics;Autopsy;Metadata;Encryption;Information technology,,3,,9,IEEE,22-Aug-24,28-29 June 2024,28-29 June 2024,IEEE,IEEE Conferences
Anti-Forensic Challenges in Digital Forensics Investigations: An Overview of Techniques and Tools,I. A. Mohammad; A. O. Nasar; M. Alkhawaldeh; E. -U. -H. Qazi; T. Zia,"Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; School of Arts and Sciences, University of Notre Dame Australia",2024 7th International Conference on Signal Processing and Information Security (ICSPIS),30-Dec-24,2024,,,1,6,"Techniques and tools have become an important part of forensic investigations, and evidence gathering in forensic cases. Most digital forensic experts use methods and tools during case investigations. At the same time, hackers and cybercriminals also use new techniques and tools called antiforensics to distract, mislead, or prolong the investigation process. This paper provides a critical overview of anti-forensic techniques such as data hiding, trail obfuscation, artifact wiping, attacks against forensic tools, and the tools used in cybercrimes. The paper demonstrates two examples, one for data hiding because it is the most common type of anti-forensic technique and the other for altering file extension which is one of the easiest ways to mislead a forensic examination. Finally, the paper provides recommendations for digital forensics examiners on how best to handle anti-forensics challenges.",2831-3844,979-8-3503-6867-3,10.1109/ICSPIS63676.2024.10812632,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812632,Anti-forensic;Anti-forensic techniques;Antiforensic tools,Steganography;Computer hacking;Digital forensics;Information security;Signal processing;Encryption;Computer crime,,,,21,IEEE,30-Dec-24,12-14 Nov. 2024,12-14 Nov. 2024,IEEE,IEEE Conferences
Unveiling Digital Secrets: An Image Text Vision App for Enhanced Digital Forensics Investigations,S. Bandal; S. Rath,"Department of Computer Science and Engineering, University of Nevada, Reno, Reno, USA; Department of Computer Science and Engineering, University of Nevada, Reno, Reno, USA",2024 12th International Symposium on Digital Forensics and Security (ISDFS),15-May-24,2024,,,1,6,"Digital forensics plays a pivotal role in uncovering crucial evidence from electronic devices, with Optical Character Recognition (OCR) standing out as a key technology for extracting text from images. This paper explores the challenges associated with OCR, including image quality, font variations, and contextual understanding. Despite its invaluable utility, the renowned digital forensics tool Autopsy currently lacks an inbuilt text extraction facility, presenting an opportunity for innovation. In response to this gap, our proposed novelty suggests integrating a dedicated text extraction module within Autopsy. While Autopsy excels in keyword searches, the addition of a text extraction feature would provide investigators with a comprehensive solution for analyzing textual content within digital image media. This paper concludes by emphasizing the significance of combining OCR with advanced forensic tools and highlights how enhancing Autopsy's capabilities aligns with the evolving demands of the digital forensic landscape. The suggested innovation positions Autopsy as a more robust and holistic tool, ensuring forensic practitioners can effectively navigate the complexities of digital evidence analysis. The open-source developed tool is available at: https://digital-forensics-text-vision.netlify.app/.",2768-1831,979-8-3503-3036-6,10.1109/ISDFS60797.2024.10527293,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527293,optical character recognition;digital evidence;text extraction;google cloud AI;vision;cyber crime,Image quality;Technological innovation;Steganography;Optical character recognition;Autopsy;Digital forensics;Keyword search,,1,,12,IEEE,15-May-24,29-30 April 2024,29-30 April 2024,IEEE,IEEE Conferences
Anti-Forensic Challenges in Digital Forensics Investigations: An Overview of Techniques and Tools,I. A. Mohammad; A. O. Nasar; M. Alkhawaldeh; E. -U. -H. Qazi; T. Zia,"Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; Center of Excellence in Cybercrimes and Digital Forensics (CoECDF), Naif Arab University for Security Sciences, Riyadh, Saudi Arabia; School of Arts and Sciences, University of Notre Dame Australia",2024 7th International Conference on Signal Processing and Information Security (ICSPIS),30-Dec-24,2024,,,1,6,"Techniques and tools have become an important part of forensic investigations, and evidence gathering in forensic cases. Most digital forensic experts use methods and tools during case investigations. At the same time, hackers and cybercriminals also use new techniques and tools called antiforensics to distract, mislead, or prolong the investigation process. This paper provides a critical overview of anti-forensic techniques such as data hiding, trail obfuscation, artifact wiping, attacks against forensic tools, and the tools used in cybercrimes. The paper demonstrates two examples, one for data hiding because it is the most common type of anti-forensic technique and the other for altering file extension which is one of the easiest ways to mislead a forensic examination. Finally, the paper provides recommendations for digital forensics examiners on how best to handle anti-forensics challenges.",2831-3844,979-8-3503-6867-3,10.1109/ICSPIS63676.2024.10812632,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812632,Anti-forensic;Anti-forensic techniques;Antiforensic tools,Steganography;Computer hacking;Digital forensics;Information security;Signal processing;Encryption;Computer crime,,,,21,IEEE,30-Dec-24,12-14 Nov. 2024,12-14 Nov. 2024,IEEE,IEEE Conferences
Image Forgery Detection Techniques: Latest Trends and Key Challenges,P. Deb; S. Deb; A. Das; N. Kar,"Department of Computer Science and Engineering, National Institute of Technology Agartala, Agartala, India; Department of Computer Science and Engineering, The ICFAI University Tripura, Kamalghat, India; Department of Information Technology, Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India; Department of Computer Science and Engineering, National Institute of Technology Agartala, Agartala, India",IEEE Access,21-Nov-24,2024,12,,169452,169466,"The improvement and accessibility of high-resolution cameras have significantly increased image capturing by various media. Different editing tools are available that are frequently used to improve image quality, resulting in the alteration of images. So, determining the authenticity or integrity of the original image is a challenging task in any domain. Currently, an image or video is a critical source of legal data for digital forensics. Hence, the study begins with the primary objective of determining whether the digital evidence (image or video) associated with a legal case has been altered. Active forgery detection methods, such as digital watermarking and digital signatures, and passive forgery detection techniques, including copy-move, splicing, and retouching, are used to verify digital evidence. Recently, neural network (NN) based forgery detection has garnered notable attention due to its efficacy in detecting forgery on images. In order to assess the benefits and drawbacks of those models, this work starts by looking at different categories of forgery detection and how those classifications are implemented. We summarised and compared the different architectures that researchers had suggested, taking into account their respective specialised viewpoints, and then we analysed them according to quality. Most used methodologies in forgery detection are elaborated by mentioning the advantages and disadvantages of each technique. Additionally, the work examines the deployment of neural networks and machine learning (ML) techniques within forensic science to detect image forgery. We also underlined the present challenges and potential research directions that might help researchers fill the knowledge gaps.",2169-3536,,10.1109/ACCESS.2024.3498340,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752965,Active forgery;passive forgery;digital watermark;digital signature;neural network;machine learning;copy-move forgery (CMF),Image quality;Reviews;Splicing;Digital forensics;Watermarking;Machine learning;Media;Market research;Forgery;Digital signatures,,18,,53,CCBYNCND,14-Nov-24,2024,,IEEE,IEEE Journals
Cryptography and Computational Approaches in Ensuring Data Integrity for Digital Forensic Evidence,R. Mahajan; K. Pandit,"Department of UILS, Chandigarh University Chandigarh University, Mohali, India; Department of UILS, Chandigarh University Chandigarh University, Mohali, India","2024 16th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",30-Jul-24,2024,,,1,6,"The Digital evidence is derived from diverse sources like computers and their volatile and non-volatile storage, portable digital devices, network traffic, social networks, records and logs from internet service providers, websites, databases, and information systems on both global and local levels. This study focuses on assessing the effectiveness and appropriateness of different security approaches in safeguarding the integrity of digital evidence. The evaluation results in a series of suggestions that should be taken into account when choosing the appropriate algorithm to ensure the integrity of digital evidence in a broad sense. This research examines the cryptographic methods for safeguarding privacy in digital forensics and their classification, which is based on their support for trustworthy third parties, numerous investigations, and multi-keyword searches have been done. The Authors outline the limitations of using cryptography-based techniques in safeguarding privacy of digital forensics and propose possible remedies for these deficiencies.",,979-8-3503-7115-4,10.1109/ECAI61503.2024.10607526,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10607526,digital evidence;cryptography;computational approaches;data integrity,Computers;Privacy;Law;Social networking (online);Digital forensics;Web and internet services;Personal digital devices,,2,,24,IEEE,30-Jul-24,27-28 June 2024,27-28 June 2024,IEEE,IEEE Conferences
Forensic Detection of Timestamp Manipulation for Digital Forensic Investigation,J. Oh; S. Lee; H. Hwang,"School of Cybersecurity, Korea University, Seongbuk-gu, Seoul, South Korea; School of Cybersecurity, Korea University, Seongbuk-gu, Seoul, South Korea; The Affiliated Institute of ETRI, Yuseong-gu, Daejeon, South Korea",IEEE Access,27-May-24,2024,12,,72544,72565,"File system forensics is one of the most important areas of digital forensic investigations. To date, various file system forensic methods have been studied, of which anti-forensic countermeasures include deleted file recovery, metadata recovery, and metadata manipulation detection. In particular, manipulation detection of timestamps, which are important file metadata, is one of the key techniques in digital forensic investigations. Existing detection methods for file timestamp manipulation in the New Technology File System (NTFS) have been studied based on various file system and operating system artifacts. This paper compares and analyzes the features and limitations of various existing detection methods and confirms that the NTFS journal-based detection method is the most effectively way to detect timestamp manipulation. However, previous NTFS journal-based detection methods have limitations such as incorrectly identifying normal events as manipulation or detecting manipulation only in limited cases. Therefore, we propose a new detection algorithm that can overcome these limitations. The proposed detection algorithm was implemented as a tool and verified through performance comparison experiments with existing detection methods. The results of experiment showed that the proposed detection algorithm has significantly improved performance by detecting timestamp manipulations that were not detected by previous detection methods and identifying normal events that were misidentified by existing detection methods. Finally, we introduce a case in which existing detection methods and the proposed detection algorithm are applied to malware that performs file timestamp manipulation in real-world advanced persistent threat attacks. The results of which confirm the superiority of the proposed detection algorithm.",2169-3536,,10.1109/ACCESS.2024.3395644,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10516317,File system;forensics;anti-forensic countermeasures;timestamp manipulation;forensic detection,File systems;Detection algorithms;Metadata;Digital forensics;Operating systems;Malware;Tunneling;Forensics,,8,,60,CCBYNCND,01-May-24,2024,,IEEE,IEEE Journals
Deep Learning for Steganographic Image Detection,L. Lenk; A. Christian; S. Alanis; R. Bhusari; Z. DeSoto; D. Guo; I. Iziumska; J. Kharbanda; J. Pai; W. Shih; C. Qiao,"University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles",2024 IEEE MIT Undergraduate Research Technology Conference (URTC),31-Mar-25,2024,,,1,4,"Steganography is often difficult to detect, especially when applied to images, as alterations to the image are minimal and often imperceptible to the human eye. To address these obstacles, we trained EfficientNetV2-S, a Convolutional Neural Network (CNN) model optimized for efficiency, for steganography detection. Using a CNN allows for flexibility as it can train on subtle features created by steganographic methods and differentiate between them and clean images. We find that our fine-tuned model is able to differentiate between clean images and certain classes of steganographically altered images with an accuracy of up to 98 percent. Notably, our model is able to distinguish between four methods of steganographic alteration and clean images with a 66.29 percent accuracy, demonstrating a new capability in the field of steganalysis.",,979-8-3315-3100-3,10.1109/URTC65039.2024.10937610,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10937610,steganography;information security;data security;artificial intelligence;computer vision;machine learning,Deep learning;Steganography;Computer vision;Accuracy;Computational modeling;Data security;Information security;Convolutional neural networks;Image classification;Testing,,,,21,IEEE,31-Mar-25,11-13 Oct. 2024,11-13 Oct. 2024,IEEE,IEEE Conferences
Heterogeneous Image Steganalysis Based on Forensics Assistance,S. Huang; M. Zhang; X. Zhang; Y. Kong; F. Di; Y. Ke,"Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China; Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China; Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China; Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China; Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China; Engineering University of PAP, College of Cryptographic Engineering, Xi'an, China","2024 6th International Conference on Communications, Information System and Computer Engineering (CISCE)",09-Sep-24,2024,,,649,652,"The purpose of image steganalysis is to detect secret information embedded in digital images. Currently, deep learning-based image steganalysis methods have achieved good detection performance. However, existing deep learning-based steganalysis methods rarely consider image selection. And some networks only use fixed filter kernels, rarely exploiting the learning ability of the network. This leads to the mismatch problem of existing steganalysis models and poses great challenges to steganalysis. To solve the mismatch problem of hybrid heterogeneous image steganalysis, we propose a forensic-assisted image steganalysis scheme. First, a classifier is used to classify the image source and filter different types of image sets, and then different versions of the steganalysis analyser are trained for different types of image sets to process the corresponding classes of images. The Steganalyser is designed to perform its feature learning efficiently. In the experiments, we applied the most advanced steganalysis model and several datasets to validate the scheme and achieve better results. The feasibility of the scheme is verified.",2833-2423,979-8-3503-5317-4,10.1109/CISCE62493.2024.10653356,"National Natural Science Foundation of China(grant numbers:62272478,62102450,62102451); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10653356,component;image steganalysis;image steganography;deep learning;forensics;neural network;feature extraction,Representation learning;Forensics;Digital images;Computational modeling;Computer architecture;Information filters;Data mining,,,,13,IEEE,09-Sep-24,10-12 May 2024,10-12 May 2024,IEEE,IEEE Conferences
Steganalysis of AI Models LSB Attacks,D. Gilkarov; R. Dubin,"Department of Computer Science, Ariel University, Ari’el, Israel; Department of Computer Science and Ariel Cyber Innovation Center, Ariel University, Ari’el, Israel",IEEE Transactions on Information Forensics and Security,07-May-24,2024,19,,4767,4779,"Artificial intelligence has made significant progress in the last decade, leading to a rise in the popularity of model sharing. The model zoo ecosystem, a repository of pre-trained AI models, has advanced the AI open-source community and opened new avenues for cyber risks. Malicious attackers can exploit shared models to launch cyber-attacks. This work focuses on the steganalysis of injected malicious Least Significant Bit (LSB) steganography into AI models, and it is the first work focusing on AI model attacks. In response to this threat, this paper presents a steganalysis method specifically tailored to detect and mitigate malicious LSB steganography attacks based on supervised and unsupervised AI detection steganalysis methods. Our proposed technique aims to preserve the integrity of shared models, protect user trust, and maintain the momentum of open collaboration within the AI community. In this work, we propose 3 steganalysis methods and open source our code. We found that the success of the steganalysis depends on the LSB attack location. If the attacker decides to exploit the least significant bits in the LSB, the ability to detect the attacks is low. However, if the attack is in the most significant LSB bits, the attack can be detected with almost perfect accuracy.",1556-6021,,10.1109/TIFS.2024.3383770,"Ariel Cyber Innovation Center in Conjunction with Israel National Cyber Directorate in the Prime Minister’s Office; U.S. Provisional Patent Application(grant numbers:63/524,681); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10486976,Steganography;AI model security,Artificial intelligence;Steganography;Malware;Mathematical models;Biological system modeling;Data models;Videos,,7,,25,IEEE,01-Apr-24,2024,,IEEE,IEEE Journals
